episode_id,podcast_id,podcast_name,episode_title,episode_description,video_name,creation_time
"episode_video0","podcast0","Tech Talk Daily","Tech Talk Daily: The Journey Begins","Tech Talk Daily: Embark on a thrilling journey into the unknown as our heroes set out on a quest of a lifetime.","Exploring the Amazon Rainforest","2024-08-23 08:16:32"
"episode_video1","podcast0","Tech Talk Daily","Tech Talk Daily: Uncharted Territory","Tech Talk Daily: Explore mysterious lands that few have ventured into, filled with unexpected challenges and treasures.","The Quest for Mars","2024-08-23 08:16:32"
"episode_video2","podcast0","Tech Talk Daily","Tech Talk Daily: Lost and Found","Tech Talk Daily: When hope seems lost, unexpected discoveries bring hope back to the hearts of the adventurers.","Saving Endangered Species","2024-08-23 08:16:32"
"episode_video3","podcast0","Tech Talk Daily","Tech Talk Daily: Secrets of the Past","Tech Talk Daily: Unearth long-buried secrets that will change the course of history and unravel the past's mysteries.","The Art of Filmmaking","2024-08-23 08:16:32"
"episode_video4","podcast0","Tech Talk Daily","Tech Talk Daily: Into the Abyss","Tech Talk Daily: Venture into the depths of the abyss where danger and intrigue await at every turn.","Epic World History","2024-08-23 08:16:32"
"episode_video5","podcast0","Tech Talk Daily","Tech Talk Daily: Whispers in the Dark","Tech Talk Daily: Whispers in the dark signal an impending threat, and the heroes must decipher their cryptic messages.","Culinary Delights of Italy","2024-08-23 08:16:32"
"episode_video6","podcast0","Tech Talk Daily","Tech Talk Daily: The Forgotten Realm","Tech Talk Daily: Discover a realm that time has forgotten, teeming with ancient wonders and forgotten civilizations.","Wildlife Under the Sea","2024-08-23 08:16:32"
"episode_video7","podcast0","Tech Talk Daily","Tech Talk Daily: Echoes of Eternity","Tech Talk Daily: Echoes of eternity resonate through time, guiding our heroes toward their destiny.","Inspirational Stories of Resilience","2024-08-23 08:16:32"
"episode_video8","podcast1","Business Buzz","Business Buzz: A New Dawn","Business Buzz: With the dawn of a new day, new possibilities and challenges arise on the horizon.","The Universe Unveiled","2024-08-23 08:16:32"
"episode_video9","podcast1","Business Buzz","Business Buzz: Shadows of Reality","Business Buzz: Reality becomes a shadowy place as the heroes face the mysteries that lie just beyond the surface.","Heartfelt Family Reunions","2024-08-23 08:16:32"
