,Natural Language Query,Generated SQL Query,Result
0,What are all the catalog entry names?,"SELECT catalog_entry_name 
FROM Catalog_Contents;","catalog_entry_name
              Cola
         Root beer
        Cream Soda
  Carbonated Water
       Ginger Beer
             Tizer
             Vimto
            Ramune
       Sprite Lemo
         Dr Pepper
        Diet Pepsi
 Diet Mountain Dew
      Mountain Dew
      Fenta Orange
         Wanglaoji"
1,Find the list of attribute data types possessed by more than 3 attribute definitions.,"SELECT attribute_data_type
FROM Attribute_Definitions
GROUP BY attribute_data_type
HAVING COUNT(attribute_id) > 3;","attribute_data_type
               Bool"
2,What are the attribute data types with more than 3 attribute definitions?,"SELECT attribute_data_type
FROM Attribute_Definitions
GROUP BY attribute_data_type
HAVING COUNT(attribute_id) > 3;","attribute_data_type
               Bool"
3,"What is the attribute data type of the attribute with name ""Green""?","SELECT attribute_data_type 
FROM Attribute_Definitions 
WHERE attribute_name = 'Green';","attribute_data_type
               Bool"
4,"Find the attribute data type for the attribute named ""Green"".","SELECT attribute_data_type 
FROM Attribute_Definitions 
WHERE attribute_name = 'Green';","attribute_data_type
               Bool"
5,Find the name and level of catalog structure with level between 5 and 10.,"SELECT catalog_level_name, catalog_level_number 
FROM Catalog_Structure 
WHERE catalog_level_number BETWEEN 5 AND 10;","catalog_level_name  catalog_level_number
      Sub-Category                     8
           Product                     9"
6,What are the name and level of catalog structure with level number between 5 and 10,"SELECT catalog_level_name, catalog_level_number 
FROM Catalog_Structure 
WHERE catalog_level_number BETWEEN 5 AND 10;","catalog_level_name  catalog_level_number
      Sub-Category                     8
           Product                     9"
7,"Find all the catalog publishers whose name contains ""Murray""","SELECT catalog_publisher 
FROM Catalogs 
WHERE catalog_publisher LIKE '%Murray%'"," catalog_publisher
Murray Coffee shop
Murray Coffee shop"
8,"Which catalog publishers have substring ""Murray"" in their names?","SELECT catalog_publisher 
FROM Catalogs 
WHERE catalog_publisher LIKE '%Murray%'"," catalog_publisher
Murray Coffee shop
Murray Coffee shop"
9,Which catalog publisher has published the most catalogs?,"SELECT publisher, COUNT(*) AS num_catalogs
FROM Catalogs
GROUP BY publisher
ORDER BY num_catalogs DESC
LIMIT 1;","An error occurred: Execution failed on sql 'SELECT publisher, COUNT(*) AS num_catalogs
FROM Catalogs
GROUP BY publisher
ORDER BY num_catalogs DESC
LIMIT 1;': no such column: publisher"
