episode_id,podcast_id,podcast_name,user_id,video_name,reaction,comment,shares,impressions,engagement_timestamp
episode_video39,podcast9,Career Insights,user17,Epic Space Exploration,positive,I appreciate the effort put into making this video. Well done!,5,1,160000
episode_video38,podcast9,Career Insights,user5,Planet Earth's Beauty,positive,I learned something new today. Thanks for the informative video!,9,4,27000
episode_video27,podcast5,Foodie Adventures,user4,Light-Hearted Romantic Comedy,negative,I learned something new today. Thanks for the informative video!,2,1,88000
episode_video8,podcast1,Business Buzz,user4,The Universe Unveiled,neutral,"The comments section brought me here, and I'm not disappointed.",3,3,95000
episode_video13,podcast1,Business Buzz,user19,Crime Solvers: Unsolved Mysteries,negative,"The comments section brought me here, and I'm not disappointed.",5,5,381000
episode_video38,podcast9,Career Insights,user7,Planet Earth's Beauty,positive,The visuals in this video were amazing. I was glued to the screen.,5,5,238000
episode_video0,podcast0,Tech Talk Daily,user3,Exploring the Amazon Rainforest,positive,I appreciate the effort put into making this video. Well done!,10,5,245000
episode_video11,podcast1,Business Buzz,user7,Spectacular Sports Moments,negative,"I shared this video with my friends, it's too good to keep to myself.",5,3,63000
episode_video33,podcast8,Fictional Worlds,user12,Emotional Human Journeys,positive,The presenter's sense of humor made this video enjoyable and fun.,8,9,0
episode_video18,podcast2,True Crime Chronicles,user18,Epic Fantasy Adventures,negative,"I watched this video twice, it's that good! Kudos to the creator.",9,5,255000
episode_video15,podcast2,True Crime Chronicles,user0,A Journey Through Japan,neutral,The visuals in this video were amazing. I was glued to the screen.,6,3,37000
episode_video24,podcast4,Planet Earth Unplugged,user2,A Taste of Home,neutral,I can't believe I've been missing out on this content. Subscribed!,2,9,208000
episode_video7,podcast0,Tech Talk Daily,user7,Inspirational Stories of Resilience,negative,"I watched this video twice, it's that good! Kudos to the creator.",1,3,213000
episode_video24,podcast4,Planet Earth Unplugged,user1,A Taste of Home,positive,The presenter's sense of humor made this video enjoyable and fun.,5,1,88000
episode_video2,podcast0,Tech Talk Daily,user17,Saving Endangered Species,positive,"I shared this video with my friends, it's too good to keep to myself.",1,2,10000
episode_video7,podcast0,Tech Talk Daily,user1,Inspirational Stories of Resilience,neutral,The practical tips in this video will definitely come in handy.,2,9,27000
episode_video20,podcast3,Mindful Living,user8,Mysteries of Ancient Egypt,positive,I learned something new today. Thanks for the informative video!,9,3,42000
episode_video36,podcast8,Fictional Worlds,user12,Hilarious Sitcom Classics,negative,The practical tips in this video will definitely come in handy.,9,6,182000
episode_video37,podcast8,Fictional Worlds,user1,The Music of Nature,neutral,The presenter's sense of humor made this video enjoyable and fun.,7,3,244000
episode_video29,podcast7,Historical Mysteries,user11,Exploring World Art,negative,The presenter's sense of humor made this video enjoyable and fun.,7,3,57000
episode_video2,podcast0,Tech Talk Daily,user3,Saving Endangered Species,negative,"I watched this video twice, it's that good! Kudos to the creator.",6,7,89000
episode_video17,podcast2,True Crime Chronicles,user5,Survival in the Wild,positive,I appreciate the effort put into making this video. Well done!,6,10,173000
episode_video31,podcast7,Historical Mysteries,user10,Ancient Myths and Legends,neutral,"The comments section brought me here, and I'm not disappointed.",9,8,76000
episode_video31,podcast7,Historical Mysteries,user16,Ancient Myths and Legends,negative,I appreciate the effort put into making this video. Well done!,8,4,11000
