,Natural Language Query,Generated SQL Query,Result
0,What are the ids of all students who have attended at least one course?,"SELECT student_id 
FROM Student_Course_Attendance
GROUP BY student_id
HAVING COUNT(course_id) >= 1;"," student_id
        111
        121
        141
        151
        161
        171"
1,What are the ids of all students for courses and what are the names of those courses?,"SELECT student_id, course_name 
FROM Students 
JOIN Student_Course_Registrations ON Students.student_id = Student_Course_Registrations.student_id 
JOIN Courses ON Student_Course_Registrations.course_id = Courses.course_id;","An error occurred: Execution failed on sql 'SELECT student_id, course_name 
FROM Students 
JOIN Student_Course_Registrations ON Students.student_id = Student_Course_Registrations.student_id 
JOIN Courses ON Student_Course_Registrations.course_id = Courses.course_id;': ambiguous column name: student_id"
2,What is detail of the student who most recently registered course?,"SELECT Students.student_details, Courses.course_name, Student_Course_Registrations.registration_date
FROM Students
JOIN Student_Course_Registrations ON Students.student_id = Student_Course_Registrations.student_id
JOIN Courses ON Student_Course_Registrations.course_id = Courses.course_id
ORDER BY Student_Course_Registrations.registration_date DESC
LIMIT 1;","student_details course_name   registration_date
         Martin      French 2008-11-14 10:35:13"
3,What details do we have on the students who registered for courses most recently?,"SELECT Students.student_id, Students.student_details, People.first_name, People.middle_name, People.last_name, Courses.course_id, Courses.course_name, Student_Course_Registrations.registration_date
FROM Students
JOIN People ON Students.student_id = People.person_id
JOIN Student_Course_Registrations ON Students.student_id = Student_Course_Registrations.student_id
JOIN Courses ON Student_Course_Registrations.course_id = Courses.course_id
WHERE Student_Course_Registrations.registration_date IN (
    SELECT MAX(registration_date)
    FROM Student_Course_Registrations
)"," student_id student_details first_name middle_name last_name course_id course_name   registration_date
        121          Martin   Virginie      Jasmin  Hartmann       303      French 2008-11-14 10:35:13"
4,How many students attend course English?,"SELECT COUNT(student_id) 
FROM Student_Course_Attendance 
WHERE course_id = (SELECT course_id FROM Courses WHERE course_name = 'English');"," COUNT(student_id)
                 2"
5,How many students are attending English courses?,"SELECT COUNT(DISTINCT s.student_id)
FROM Students s
JOIN Student_Course_Registrations scr ON s.student_id = scr.student_id
JOIN Courses c ON scr.course_id = c.course_id
WHERE c.course_name LIKE '%English%';"," COUNT(DISTINCT s.student_id)
                            2"
6,How many courses do the student whose id is 171 attend?,"SELECT COUNT(course_id) 
FROM Student_Course_Attendance 
WHERE student_id = 171;"," COUNT(course_id)
                1"
7,How many courses does the student with id 171 actually attend?,"SELECT COUNT(course_id) 
FROM Student_Course_Attendance 
WHERE student_id = 171;"," COUNT(course_id)
                1"
8,Find id of the candidate whose email is stanley.monahan@example.org?,"SELECT candidate_id 
FROM Candidates 
JOIN People ON Candidates.candidate_id = People.person_id 
WHERE People.email_address = 'stanley.monahan@example.org';"," candidate_id
          151"
9,What is the id of the candidate whose email is stanley.monahan@example.org?,"SELECT candidate_id 
FROM Candidates 
JOIN People ON Candidates.candidate_id = People.person_id 
WHERE People.email_address = 'stanley.monahan@example.org';"," candidate_id
          151"
