,Natural Language Query,Generated SQL Query,Result
0,What are the distinct grant amount for the grants where the documents were sent before '1986-08-26 20:49:27' and grant were ended after '1989-03-16 18:27:16'?,"SELECT DISTINCT g.grant_amount
FROM Grants g
JOIN Documents d ON g.grant_id = d.grant_id
WHERE d.sent_date < '1986-08-26 20:49:27' AND g.grant_end_date > '1989-03-16 18:27:16';"," grant_amount
  608413.3291
       1.9848"
1,What are the different grant amounts for documents sent before '1986-08-26 20:49:27' and after the grant ended on '1989-03-16 18:27:16'?,"SELECT DISTINCT grant_amount 
FROM Grants 
JOIN Documents ON Grants.grant_id = Documents.grant_id 
WHERE sent_date < '1986-08-26 20:49:27' AND grant_end_date > '1989-03-16 18:27:16';"," grant_amount
  608413.3291
       1.9848"
2,List the project details of the project both producing patent and paper as outcomes.,"SELECT Projects.project_id, Projects.project_details
FROM Projects
WHERE Projects.project_id IN (
    SELECT Project_Outcomes.project_id
    FROM Project_Outcomes
    WHERE Project_Outcomes.outcome_code IN (
        SELECT Research_Outcomes.outcome_code
        FROM Research_Outcomes
        WHERE Research_Outcomes.outcome_description = 'patent'
    )
)
AND Projects.project_id IN (
    SELECT Project_Outcomes.project_id
    FROM Project_Outcomes
    WHERE Project_Outcomes.outcome_code IN (
        SELECT Research_Outcomes.outcome_code
        FROM Research_Outcomes
        WHERE Research_Outcomes.outcome_description = 'paper'
    )
);","Empty DataFrame
Columns: [project_id, project_details]
Index: []"
3,What are the details of the project that is producing both patents and papers as outcomes?,"SELECT Projects.project_details
FROM Projects
INNER JOIN Project_Outcomes ON Projects.project_id = Project_Outcomes.project_id
INNER JOIN Research_Outcomes ON Project_Outcomes.outcome_code = Research_Outcomes.outcome_code
WHERE Research_Outcomes.outcome_description IN ('patents', 'papers')
GROUP BY Projects.project_id, Projects.project_details
HAVING COUNT(DISTINCT Research_Outcomes.outcome_description) = 2;","Empty DataFrame
Columns: [project_details]
Index: []"
4,What is the total grant amount of the organisations described as research?,"SELECT SUM(Grants.grant_amount)
FROM Grants
JOIN Organisations ON Grants.organisation_id = Organisations.organisation_id
JOIN Organisation_Types ON Organisations.organisation_type = Organisation_Types.organisation_type
WHERE Organisation_Types.organisation_type_description = 'research';","SUM(Grants.grant_amount)
                    None"
5,What is the total amount of grant money for research?,"SELECT SUM(grant_amount) 
FROM Grants;"," SUM(grant_amount)
      1.228097e+08"
6,List from which date and to which date these staff work: project staff of the project which hires the most staffs,"SELECT project_id, date_from, date_to
FROM Project_Staff
WHERE project_id = (
  SELECT project_id
  FROM Project_Staff
  GROUP BY project_id
  ORDER BY COUNT(staff_id) DESC
  LIMIT 1
)"," project_id           date_from             date_to
          2 1981-10-04 22:44:50 1985-05-30 22:26:30
          2 1981-10-09 21:32:53 2004-12-16 13:03:36
          2 1973-12-12 11:46:28 1971-07-19 22:49:05"
7,From what date and to what date do the staff work on a project that has the most staff and has staff in a leader role?,"SELECT the_project.project_id, MIN(date_from) AS start_date, MAX(date_to) AS end_date
FROM (
  SELECT project_id, COUNT(DISTINCT staff_id) AS staff_count
  FROM Project_Staff
  GROUP BY project_id
  ORDER BY staff_count DESC
  LIMIT 1
) AS the_project
JOIN Project_Staff ON the_project.project_id = Project_Staff.project_id
WHERE role_code IN (
  SELECT role_code
  FROM Staff_Roles
  WHERE role_description LIKE '%leader%'
)
GROUP BY the_project.project_id;"," project_id          start_date            end_date
          2 1981-10-04 22:44:50 1985-05-30 22:26:30"
8,Find the organisation ids and details of the organisations which are involved in,"SELECT organisation_id, organisation_details 
FROM Organisations;"," organisation_id organisation_details
               1                   et
               2                 eius
               3              impedit
               4                  eos
               5              tenetur
               6              dolorem
               7               itaque
               8              aperiam
               9                    a
              10             officiis
              11              eveniet
              12               itaque
              13             voluptas
              14                  quo
              15         consequuntur"
9,What are the ids and details for all organizations that have grants of more than 6000 dollars?,"SELECT Organisations.organisation_id, Organisations.organisation_details
FROM Organisations
INNER JOIN Grants ON Organisations.organisation_id = Grants.organisation_id
WHERE Grants.grant_amount > 6000;"," organisation_id organisation_details
              14                  quo
               2                 eius
               7               itaque
              10             officiis
              12               itaque
               9                    a"
