transcript_id,video_id,video_name,text,start,finish
"transcript_video0_16_323","video0","Exploring the Amazon Rainforest","Are you a book lover? If so, you won't want to miss this episode of 'Bookworm's Paradise.' Join our host, Emma Taylor, as she reviews some of the most captivating books of the year. From thrilling mysteries to heartwarming romances, we've got something for every reader.",16000,323000
"transcript_video0_333_427","video0","Exploring the Amazon Rainforest","In this episode, we delve into the fascinating world of artificial intelligence. Our guest, Dr. Sarah Anderson, shares insights into the latest advancements in AI and its potential impact on various industries. We discuss the ethical considerations of AI, its applications in healthcare, and the future of AI research. Tune in to gain a deeper understanding of this transformative technology.",333000,427000
"transcript_video0_435_488","video0","Exploring the Amazon Rainforest","Welcome to the podcast! Today, we're joined by renowned chef, Julia Martinez, who takes us on a culinary journey through the flavors of Spain. She shares her love for traditional Spanish dishes, from paella to tapas. Get ready to be inspired to cook your own Spanish delicacies at home as Julia provides tips and tricks to master these mouthwatering recipes.",435000,488000
"transcript_video1_18_54","video1","The Quest for Mars","Ever wondered about the power of storytelling? In this episode, we sit down with award-winning author, James Thompson, who shares his experiences and insights into the world of literature. We discuss the art of crafting compelling narratives, his writing process, and the impact of storytelling on society. Whether you're an aspiring author or a book lover, this episode is a must-listen.",18000,54000
"transcript_video1_58_175","video1","The Quest for Mars","Welcome to a world of creativity! Join us for an inspiring chat with renowned artist, Emma Turner. Emma shares her artistic journey, from her early beginnings to her latest projects. Discover the power of artistic expression and the beauty of visual storytelling.",58000,175000
"transcript_video1_175_234","video1","The Quest for Mars","In this episode, we delve into the fascinating world of artificial intelligence. Our guest, Dr. Sarah Anderson, shares insights into the latest advancements in AI and its potential impact on various industries. We discuss the ethical considerations of AI, its applications in healthcare, and the future of AI research. Tune in to gain a deeper understanding of this transformative technology.",175000,234000
"transcript_video1_252_261","video1","The Quest for Mars","Ever wondered about the power of storytelling? In this episode, we sit down with award-winning author, James Thompson, who shares his experiences and insights into the world of literature. We discuss the art of crafting compelling narratives, his writing process, and the impact of storytelling on society. Whether you're an aspiring author or a book lover, this episode is a must-listen.",252000,261000
"transcript_video1_278_325","video1","The Quest for Mars","Travel back in time with archaeologist, Sarah Turner, as we uncover the mysteries of ancient Rome. Learn about the architecture, culture, and daily life of this iconic civilization. If you're a history enthusiast or simply curious about the past, this episode is a treasure trove of knowledge.",278000,325000
"transcript_video2_8_174","video2","Saving Endangered Species","Travel back in time with archaeologist, Sarah Turner, as we uncover the mysteries of ancient Rome. Learn about the architecture, culture, and daily life of this iconic civilization. If you're a history enthusiast or simply curious about the past, this episode is a treasure trove of knowledge.",8000,174000
"transcript_video2_174_207","video2","Saving Endangered Species","Are you a book lover? If so, you won't want to miss this episode of 'Bookworm's Paradise.' Join our host, Emma Taylor, as she reviews some of the most captivating books of the year. From thrilling mysteries to heartwarming romances, we've got something for every reader.",174000,207000
"transcript_video3_8_304","video3","The Art of Filmmaking","Welcome to a journey through the cosmos! Dr. John Parker, an astrophysicist, takes us on a thrilling adventure to explore the mysteries of the universe. We discuss black holes, the search for extraterrestrial life, and the latest breakthroughs in space exploration. Prepare to be amazed by the wonders of the cosmos.",8000,304000
"transcript_video3_320_349","video3","The Art of Filmmaking","Have you ever dreamed of traveling the world? Travel blogger, Sarah Collins, shares her experiences and tips for globetrotters. From hidden gems to travel hacks, we cover it all. Whether you're planning your next adventure or simply love hearing travel stories, this episode will ignite your wanderlust.",320000,349000
"transcript_video3_353_457","video3","The Art of Filmmaking","Discover the world of culinary delights in 'Taste of Culture.' In this episode, our chef, Carlos Rodriguez, takes you on a culinary journey to explore international cuisines. From spicy curries to delicate pastries, you'll experience a symphony of flavors from around the globe.",353000,457000
"transcript_video4_16_175","video4","Epic World History","Welcome to a world of creativity! Join us for an inspiring chat with renowned artist, Emma Turner. Emma shares her artistic journey, from her early beginnings to her latest projects. Discover the power of artistic expression and the beauty of visual storytelling.",16000,175000
"transcript_video4_182_340","video4","Epic World History","In this episode, we explore the world of sustainable living with eco-entrepreneur, Lisa Davis. Discover eco-friendly practices, from reducing waste and conserving energy to embracing green technologies. We discuss the impact of climate change and the role of individuals in creating a more sustainable future.",182000,340000
