podcast_id,podcast_name,description,host_name
"podcast0","Tech Talk Daily","Stay updated with the latest tech trends and innovations from around the world.","Thomas Brown"
"podcast1","Business Buzz","Dive deep into the world of entrepreneurship and discover success stories and strategies.","William Martin"
"podcast2","True Crime Chronicles","Explore gripping true crime stories and delve into the minds of notorious criminals.","Sophia Lopez"
"podcast3","Mindful Living","Learn mindfulness techniques and practices to lead a happier and more balanced life.","Olivia Thompson"
"podcast4","Planet Earth Unplugged","Discover the wonders of our planet's natural beauty and the incredible creatures that inhabit it.","Robert Wilson"
"podcast5","Foodie Adventures","Embark on a culinary journey exploring diverse cuisines and tantalizing recipes.","Daniel Brown"
"podcast6","The Comedy Corner","Get ready for a good laugh with stand-up comedians and hilarious sketches.","David Thompson"
"podcast7","Historical Mysteries","Unearth unsolved mysteries from history and uncover the secrets of the past.","Olivia Anderson"
"podcast8","Fictional Worlds","Immerse yourself in epic tales and imaginary realms created by talented authors.","William Thomas"
"podcast9","Career Insights","Gain valuable career advice, interview tips, and insights to advance your professional life.","Isabella Harris"
