,Natural Language Query,Generated SQL Query,Result
0,How many pets have a greater weight than 10?,"SELECT COUNT(PetID) 
FROM Pets 
WHERE weight > 10;"," COUNT(PetID)
            2"
1,Find the weight of the youngest dog.,"SELECT MIN(Pets.weight) 
FROM Pets 
WHERE Pets.PetType = 'dog' AND Pets.pet_age = (SELECT MIN(pet_age) FROM Pets WHERE PetType = 'dog');"," MIN(Pets.weight)
              9.3"
2,How much does the youngest dog weigh?,"SELECT MIN(Pets.weight)
FROM Pets
WHERE Pets.PetType = 'dog' AND Pets.pet_age = (SELECT MIN(pet_age) FROM Pets WHERE PetType = 'dog');"," MIN(Pets.weight)
              9.3"
3,Find the maximum weight for each type of pet. List the maximum weight and pet type.,"SELECT PetType, MAX(weight) 
FROM Pets 
GROUP BY PetType;","PetType  MAX(weight)
    cat         12.0
    dog         13.4"
4,List the maximum weight and type for each type of pet.,"SELECT PetType, MAX(weight) 
FROM Pets 
GROUP BY PetType;","PetType  MAX(weight)
    cat         12.0
    dog         13.4"
5,Find number of pets owned by students who are older than 20.,"SELECT COUNT(Pets.PetID)
FROM Student
JOIN Has_Pet ON Student.StuID = Has_Pet.StuID
JOIN Pets ON Has_Pet.PetID = Pets.PetID
WHERE Student.Age > 20;"," COUNT(Pets.PetID)
                 0"
6,How many pets are owned by students that have an age greater than 20?,"SELECT COUNT(Pets.PetID)
FROM Student
JOIN Has_Pet ON Student.StuID = Has_Pet.StuID
JOIN Pets ON Has_Pet.PetID = Pets.PetID
WHERE Student.Age > 20;"," COUNT(Pets.PetID)
                 0"
7,Find the number of dog pets that are raised by female students (with sex F).,"SELECT COUNT(*) 
FROM Student s 
JOIN Has_Pet hp ON s.StuID = hp.StuID 
JOIN Pets p ON hp.PetID = p.PetID 
WHERE s.Sex = 'F' AND p.PetType = 'dog';"," COUNT(*)
        2"
8,How many dog pets are raised by female students?,"SELECT COUNT(*) 
FROM Student s 
JOIN Has_Pet hp ON s.StuID = hp.StuID 
JOIN Pets p ON hp.PetID = p.PetID 
WHERE s.Sex = 'F' AND p.PetType = 'dog';"," COUNT(*)
        2"
9,Find the number of distinct type of pets.,SELECT COUNT(DISTINCT PetType) FROM Pets;," COUNT(DISTINCT PetType)
                       2"
10,How many different types of pet are there?,SELECT COUNT(DISTINCT PetType) FROM Pets;," COUNT(DISTINCT PetType)
                       2"
11,Find the first name of students who have cat or dog pet.,"SELECT Fname 
FROM Student 
WHERE StuID IN (
    SELECT StuID 
    FROM Has_Pet 
    WHERE PetID IN (
        SELECT PetID 
        FROM Pets 
        WHERE PetType IN ('cat', 'dog')
    )
);","Fname
Linda
Tracy"
12,What are the first names of every student who has a cat or dog as a pet?,"SELECT Fname 
FROM Student 
WHERE StuID IN (
    SELECT StuID 
    FROM Has_Pet 
    WHERE PetID IN (
        SELECT PetID 
        FROM Pets 
        WHERE PetType IN ('cat', 'dog')
    )
);","Fname
Linda
Tracy"
13,Find the first name of students who have both cat and dog pets .,"SELECT Fname
FROM Student
WHERE StuID IN (
    SELECT StuID
    FROM Has_Pet
    WHERE PetID IN (
        SELECT PetID
        FROM Pets
        WHERE PetType IN ('cat', 'dog')
    )
    GROUP BY StuID
    HAVING COUNT(DISTINCT PetType) = 2
);","An error occurred: Execution failed on sql 'SELECT Fname
FROM Student
WHERE StuID IN (
    SELECT StuID
    FROM Has_Pet
    WHERE PetID IN (
        SELECT PetID
        FROM Pets
        WHERE PetType IN ('cat', 'dog')
    )
    GROUP BY StuID
    HAVING COUNT(DISTINCT PetType) = 2
);': no such column: PetType"
14,What are the students' first names who have both cats and dogs as pets?,"SELECT Student.Fname
FROM Student
JOIN Has_Pet ON Student.StuID = Has_Pet.StuID
JOIN Pets ON Has_Pet.PetID = Pets.PetID
WHERE Student.StuID IN (
    SELECT Has_Pet.StuID
    FROM Has_Pet
    JOIN Pets ON Has_Pet.PetID = Pets.PetID
    WHERE Pets.PetType = 'cat'
) AND Student.StuID IN (
    SELECT Has_Pet.StuID
    FROM Has_Pet
    JOIN Pets ON Has_Pet.PetID = Pets.PetID
    WHERE Pets.PetType = 'dog'
)
GROUP BY Student.Fname;","Empty DataFrame
Columns: [Fname]
Index: []"
15,Find the major and age of students who do not have a cat pet.,"SELECT Student.Major, Student.Age
FROM Student
WHERE Student.StuID NOT IN (
    SELECT Has_Pet.StuID
    FROM Has_Pet
    JOIN Pets ON Has_Pet.PetID = Pets.PetID
    WHERE Pets.PetType = 'cat'
)"," Major  Age
   600   19
   600   21
   600   20
   600   26
   600   18
   600   18
   600   20
   600   19
   600   17
   600   22
   600   20
   600   18
   600   16
   600   17
   600   27
   600   20
   600   18
   520   22
   520   19
   540   17
   520   20
   540   18
   520   18
   520   19
   520   18
   550   20
   100   17
   550   21
   550   20
   550   20
   550   18
    50   18
    50   26"
