,Natural Language Query,Generated SQL Query,Result
0,Count the number of farms.,SELECT COUNT(*) FROM farm;," COUNT(*)
        8"
1,List the total number of horses on farms in ascending order.,SELECT Total_Horses FROM farm ORDER BY Total_Horses ASC;," Total_Horses
       2546.9
       2604.8
       3658.9
       4781.3
       5056.5
       5308.2
       5486.9
       5607.5"
2,"What is the total horses record for each farm, sorted ascending?","SELECT Farm_ID, SUM(Total_Horses) AS Total_Horses
FROM farm
GROUP BY Farm_ID
ORDER BY Total_Horses ASC;"," Farm_ID  Total_Horses
       8        2546.9
       7        2604.8
       6        3658.9
       5        4781.3
       1        5056.5
       4        5308.2
       2        5486.9
       3        5607.5"
3,"What are the hosts of competitions whose theme is not ""Aliens""?","SELECT Hosts 
FROM farm_competition 
WHERE Theme != 'Aliens';","                               Hosts
Miley Cyrus Jared Leto and Karen Mok
       Leehom Wang and Kelly Rowland
                         Alicia Keys
      Vanness Wu and Michelle Branch
                 Shaggy and Coco Lee"
4,Return the hosts of competitions for which the theme is not Aliens?,"SELECT Hosts 
FROM farm_competition 
WHERE Theme != 'Aliens';","                               Hosts
Miley Cyrus Jared Leto and Karen Mok
       Leehom Wang and Kelly Rowland
                         Alicia Keys
      Vanness Wu and Michelle Branch
                 Shaggy and Coco Lee"
5,What are the themes of farm competitions sorted by year in ascending order?,"SELECT Theme, Year
FROM farm_competition
ORDER BY Year ASC;","              Theme  Year
             Aliens  2002
           MTV Cube  2003
    Valentine's Day  2004
       MTV Asia Aid  2005
        Codehunters  2006
Carnival M is back!  2013"
6,"Return the themes of farm competitions, sorted by year ascending.","SELECT Theme, Year 
FROM farm_competition 
ORDER BY Year ASC;","              Theme  Year
             Aliens  2002
           MTV Cube  2003
    Valentine's Day  2004
       MTV Asia Aid  2005
        Codehunters  2006
Carnival M is back!  2013"
7,What is the average number of working horses of farms with more than 5000 total number of horses?,"SELECT AVG(Working_Horses) 
FROM farm 
WHERE Total_Horses > 5000;"," AVG(Working_Horses)
             3977.75"
8,Give the average number of working horses on farms with more than 5000 total horses.,"SELECT AVG(Working_Horses) 
FROM farm 
WHERE Total_Horses > 5000;"," AVG(Working_Horses)
             3977.75"
9,What are the maximum and minimum number of cows across all farms.,"SELECT MAX(Cows) AS Maximum_Cows, MIN(Cows) AS Minimum_Cows FROM farm;"," Maximum_Cows  Minimum_Cows
       3987.0        2407.2"
